VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-01-05 08:30:48,2021-01-05 08:40:23,N,1.0,244,247,1.0,1.48,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,1.0,0.0
2.0,2021-01-05 12:19:16,2021-01-05 12:19:43,N,5.0,215,215,1.0,0.0,10.0,0.0,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,0.0
1.0,2021-01-01 22:15:46,2021-01-01 22:19:14,N,1.0,75,74,1.0,1.0,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1.0,1.0,0.0
2.0,2021-01-29 17:59:25,2021-01-29 18:11:40,N,1.0,74,24,1.0,1.72,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,2.0,1.0,0.0
1.0,2021-01-25 08:36:00,2021-01-25 08:45:59,Y,1.0,41,42,1.0,1.6,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0
2.0,2021-01-23 08:19:55,2021-01-23 08:56:36,N,1.0,119,197,1.0,15.51,47.5,0.0,0.5,0.0,6.12,,0.3,54.42,1.0,1.0,0.0
2.0,2021-01-16 00:38:42,2021-01-16 00:55:52,N,1.0,82,79,1.0,8.3,25.0,0.5,0.5,8.72,0.0,,0.3,37.77,1.0,1.0,2.75
2.0,2021-01-28 14:15:09,2021-01-28 14:58:05,N,1.0,169,197,1.0,18.17,53.0,0.0,0.5,0.0,6.12,,0.3,59.92,1.0,1.0,0.0
2.0,2021-01-18 16:46:02,2021-01-18 16:56:00,N,1.0,43,263,1.0,1.3,8.0,0.0,0.5,1.0,0.0,,0.3,12.55,1.0,1.0,2.75
2.0,2021-01-18 16:24:39,2021-01-18 16:30:39,N,1.0,166,41,1.0,0.96,6.0,1.0,0.5,1.56,0.0,,0.3,9.36,1.0,1.0,0.0
2.0,2021-01-01 16:14:39,2021-01-01 17:12:15,N,1.0,182,182,1.0,0.51,31.5,0.0,0.5,2.75,0.0,,0.3,35.05,1.0,1.0,0.0
2.0,2021-01-14 17:28:21,2021-01-14 17:42:28,N,1.0,75,42,1.0,2.78,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,2.0,1.0,0.0
2.0,2021-01-25 16:20:25,2021-01-25 16:25:17,N,1.0,74,74,1.0,0.65,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
1.0,2021-01-11 16:00:14,2021-01-11 16:12:54,N,1.0,197,180,1.0,5.4,17.0,1.0,0.5,0.0,0.0,,0.3,18.8,2.0,1.0,0.0
1.0,2021-01-08 07:12:02,2021-01-08 07:21:14,N,1.0,244,238,1.0,4.3,14.0,2.75,0.5,2.0,0.0,,0.3,19.55,1.0,1.0,2.75
2.0,2021-01-02 16:13:28,2021-01-02 16:24:14,N,1.0,95,135,1.0,2.29,10.0,0.0,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,0.0
2.0,2021-01-19 16:06:37,2021-01-19 16:55:06,N,1.0,197,49,1.0,9.08,37.0,1.0,0.5,0.0,0.0,,0.3,38.8,1.0,1.0,0.0
2.0,2021-01-21 08:43:04,2021-01-21 08:58:30,N,1.0,74,236,1.0,2.35,11.0,0.0,0.5,0.0,0.0,,0.3,14.55,2.0,1.0,2.75
2.0,2021-01-02 15:00:52,2021-01-02 15:12:50,N,1.0,74,152,1.0,1.64,9.5,0.0,0.5,2.58,0.0,,0.3,12.88,1.0,1.0,0.0
2.0,2021-01-12 20:20:15,2021-01-12 20:25:14,N,1.0,33,65,1.0,0.7,5.0,0.5,0.5,1.5,0.0,,0.3,7.8,1.0,1.0,0.0
2.0,2021-01-06 18:52:55,2021-01-06 18:58:59,N,1.0,129,173,1.0,0.94,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2021-01-21 20:32:46,2021-01-21 20:48:58,N,1.0,82,7,1.0,3.93,15.5,0.5,0.5,2.0,0.0,,0.3,18.8,1.0,1.0,0.0
2.0,2021-01-13 15:32:41,2021-01-13 15:49:36,N,1.0,42,69,1.0,2.25,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2.0,1.0,0.0
2.0,2021-01-17 23:50:31,2021-01-17 23:50:59,N,5.0,56,56,1.0,0.09,7.0,0.0,0.0,0.02,0.0,,0.3,7.32,1.0,2.0,0.0
2.0,2021-01-05 12:25:41,2021-01-05 12:33:42,N,1.0,74,41,1.0,1.06,7.0,0.0,0.5,0.62,0.0,,0.3,8.42,1.0,1.0,0.0
2.0,2021-01-12 14:52:24,2021-01-12 15:18:52,N,1.0,75,50,1.0,4.92,22.0,0.0,0.5,5.11,0.0,,0.3,30.66,1.0,1.0,2.75
2.0,2021-01-06 12:31:58,2021-01-06 12:34:48,N,1.0,75,263,1.0,0.63,4.0,0.0,0.5,0.0,0.0,,0.3,7.55,2.0,1.0,2.75
2.0,2021-01-21 19:25:05,2021-01-21 19:25:08,N,5.0,97,97,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,0.3,16.3,2.0,2.0,0.0
2.0,2021-01-08 10:30:22,2021-01-08 10:36:06,N,1.0,95,95,1.0,0.86,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2021-01-21 01:11:48,2021-01-21 01:18:08,N,1.0,82,82,1.0,1.28,6.5,0.5,0.5,1.0,0.0,,0.3,8.8,1.0,1.0,0.0
1.0,2021-01-20 12:42:37,2021-01-20 13:13:06,N,1.0,52,61,1.0,4.0,20.0,0.0,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,0.0
2.0,2021-01-21 15:28:35,2021-01-21 15:33:45,N,1.0,41,41,1.0,0.89,5.5,0.0,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,0.0
2.0,2021-01-27 10:40:26,2021-01-27 10:49:42,N,1.0,7,179,1.0,1.15,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2021-01-13 02:05:15,2021-01-13 02:12:57,N,1.0,75,74,1.0,1.69,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2021-01-15 18:16:02,2021-01-15 18:21:57,N,1.0,75,263,1.0,0.85,5.5,1.0,0.5,2.51,0.0,,0.3,12.56,1.0,1.0,2.75
2.0,2021-01-08 15:47:58,2021-01-08 15:55:34,N,1.0,166,74,1.0,1.39,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
1.0,2021-01-05 15:29:44,2021-01-05 15:40:22,N,1.0,65,181,1.0,1.4,8.5,0.0,0.5,2.75,0.0,,0.3,12.05,1.0,1.0,0.0
2.0,2021-01-12 14:45:47,2021-01-12 14:50:14,N,1.0,75,75,1.0,0.8,5.5,0.0,0.5,4.0,0.0,,0.3,10.3,1.0,1.0,0.0
2.0,2021-01-13 17:14:07,2021-01-13 17:22:26,N,1.0,74,74,1.0,1.19,7.0,1.0,0.5,1.76,0.0,,0.3,10.56,1.0,1.0,0.0
2.0,2021-01-24 17:07:45,2021-01-24 17:20:32,N,1.0,75,140,1.0,2.25,10.5,0.0,0.5,0.0,0.0,,0.3,14.05,2.0,1.0,2.75
2.0,2021-01-25 14:59:24,2021-01-25 15:00:19,N,1.0,193,193,1.0,0.0,2.5,0.0,0.5,0.08,0.0,,0.3,3.38,1.0,1.0,0.0
